id,nombre,edad,ciudad,departamento,salario,fecha_alta,remoto,seniority,puntuacion
44,Fernando,49,Zaragoza,Logística,2888,2022-01-03,False,Junior,5.12
45,Jorge,43,Pamplona,Operaciones,1371,2020-05-20,True,Junior,5.82
46,Marta,38,Alicante,Ventas,3418,2025-07-02,True,SemiSenior,8.91
47,Noelia,22,Santander,Operaciones,5691,2022-07-11,True,SemiSenior,0.94
48,Hugo,42,Gijón,Logística,2001,2025-01-22,True,Junior,3.39
49,Jorge,25,Zaragoza,Ventas,2603,2023-11-04,False,SemiSenior,6.59
50,Noelia,31,Alicante,Atención Cliente,2108,2024-05-30,True,SemiSenior,9.8
51,Patricia,35,Madrid,IT,1799,2024-04-21,True,SemiSenior,8.48
52,Jorge,24,Valladolid,Atención Cliente,2305,2021-02-06,False,Junior,8.46
53,Hugo,34,Madrid,Atención Cliente,3945,2022-01-23,False,Junior,5.17
54,Paula,29,Granada,Ventas,4947,2022-08-24,False,SemiSenior,5.64
55,Irene,54,Pamplona,Operaciones,4514,2022-10-27,False,Senior,8.59
56,Natalia,54,Granada,IT,4902,2020-03-31,False,SemiSenior,8.7
57,Sergio,18,Gijón,Finanzas,4635,2023-02-05,False,Junior,8.02
58,Lucía,43,Valencia,Logística,3038,2020-11-15,False,Senior,8.19
59,Raúl,45,Pamplona,Ventas,5522,2024-03-18,True,Junior,8.8
60,Elena,34,Valladolid,Ventas,2027,2023-11-14,False,SemiSenior,1.14
61,Carlos,38,Granada,RRHH,4559,2025-03-24,False,Junior,2.93
62,Andrés,51,Alicante,Marketing,1732,2024-03-21,False,SemiSenior,9.76
63,Raúl,34,A Coruña,IT,4875,2022-01-28,False,SemiSenior,5.45
64,Pedro,20,Bilbao,RRHH,1618,2025-06-25,False,SemiSenior,1.76
65,Noelia,34,A Coruña,Marketing,2237,2022-04-30,True,Junior,5.03
66,Laura,28,A Coruña,IT,3078,2021-11-05,False,SemiSenior,6.46
67,Sergio,34,Gijón,Marketing,4534,2025-02-17,True,Junior,8.28
68,Noelia,27,Murcia,IT,1418,2022-02-05,False,Senior,8.12
69,Lucía,24,Murcia,Logística,2435,2020-06-07,False,Junior,0.49
70,María,60,Murcia,Logística,2801,2022-08-29,True,SemiSenior,4.54
71,Carmen,23,Barcelona,Marketing,4709,2024-07-05,True,SemiSenior,0.21
72,Natalia,48,Barcelona,Logística,5816,2021-01-27,True,Junior,8.88
73,Carlos,48,Madrid,RRHH,4148,2022-08-16,False,Junior,1.74
74,Irene,44,A Coruña,Logística,3636,2020-09-25,False,Junior,6.25
75,Miguel,57,Zaragoza,Ventas,2814,2023-11-22,False,SemiSenior,5.71
76,Hugo,18,Gijón,Marketing,5149,2022-09-11,True,Senior,6.26
77,Pedro,30,Granada,Operaciones,1714,2021-11-14,False,SemiSenior,5.63
78,Sergio,25,Sevilla,Ventas,1820,2021-04-14,False,Senior,7.16
79,Sofía,42,Barcelona,Atención Cliente,2165,2023-03-14,True,Junior,6.26
80,Diego,45,Málaga,RRHH,2487,2023-10-18,True,Junior,0.9
81,Diego,56,Santander,RRHH,3416,2025-04-30,False,Senior,3.67
82,Sergio,34,Madrid,RRHH,5744,2022-06-23,True,Senior,5.47
83,Elena,28,Sevilla,Atención Cliente,4322,2020-11-28,True,Junior,3.25
84,Carlos,57,Madrid,IT,3041,2024-09-19,True,SemiSenior,7.6
85,Paula,46,Zaragoza,Atención Cliente,2215,2023-07-27,True,Senior,3.18
86,Paula,50,Pamplona,Atención Cliente,4312,2023-12-20,True,SemiSenior,8.29
87,Jorge,37,Granada,Atención Cliente,2415,2020-07-20,True,SemiSenior,1.47
88,Jorge,37,Murcia,Logística,5886,2021-10-08,False,Junior,7.69
89,Sofía,34,Sevilla,Atención Cliente,3493,2024-05-08,False,Junior,1.83
90,Natalia,50,Málaga,Finanzas,3844,2024-09-18,True,SemiSenior,5.28
91,Paula,27,Murcia,RRHH,5537,2022-06-19,False,SemiSenior,3.21
92,Raúl,59,Bilbao,RRHH,2665,2024-07-23,False,Junior,6.37
93,Noelia,25,Granada,Atención Cliente,3465,2024-10-08,True,Junior,2.13
94,Carlos,37,Pamplona,RRHH,3753,2022-03-13,True,Junior,7.95
95,Pablo,31,Valencia,Finanzas,2501,2025-02-02,True,SemiSenior,5.74
96,Hugo,45,Valencia,IT,1462,2021-08-19,False,Junior,9.57
97,Jorge,47,Barcelona,Marketing,2562,2021-05-10,False,Junior,7.12
98,Andrés,57,Granada,Marketing,1739,2023-11-13,True,Junior,6.07
99,Jorge,51,Zaragoza,RRHH,4443,2023-08-11,False,Senior,8.29
100,Elena,28,Bilbao,Finanzas,1234,2020-10-16,False,SemiSenior,2.2
101,Paula,26,Valencia,Operaciones,2719,2024-09-19,True,Junior,6.33
102,Pedro,56,Barcelona,RRHH,5445,2021-02-17,False,SemiSenior,3.9
103,Ana,38,Murcia,Ventas,3929,2024-07-24,False,SemiSenior,7.44
104,Diego,22,Granada,Finanzas,4422,2020-01-16,False,SemiSenior,0.24
105,Noelia,53,Valencia,IT,4409,2024-07-07,False,SemiSenior,4.28
106,Andrés,45,Madrid,Atención Cliente,2632,2024-06-16,False,SemiSenior,6.52
107,Patricia,19,Murcia,Atención Cliente,4235,2024-06-03,True,SemiSenior,4.61
108,Raúl,51,Granada,Ventas,2261,2023-10-08,True,Junior,2.38
109,Pablo,44,Málaga,Marketing,4251,2022-09-03,False,Junior,4.64
110,Carlos,44,Valencia,IT,4479,2023-12-30,True,Junior,8.5
111,Laura,55,Sevilla,Marketing,5406,2021-07-27,False,SemiSenior,2.07
112,Hugo,39,Alicante,IT,5614,2024-06-04,True,SemiSenior,3.67
113,Luis,37,Gijón,Logística,1315,2023-02-24,False,SemiSenior,9.9
114,Pablo,44,Alicante,Ventas,2636,2022-08-07,False,Junior,9.13
115,Paula,26,Murcia,Operaciones,3826,2022-11-12,True,SemiSenior,0.34
116,Natalia,24,Granada,Finanzas,2743,2023-03-23,False,Junior,5.3
117,Isabel,54,Málaga,Ventas,4169,2020-03-18,True,Junior,0.65
118,Ricardo,27,Madrid,Atención Cliente,5301,2020-10-16,False,SemiSenior,9.24
119,Ana,39,Málaga,IT,2438,2021-05-23,False,Junior,4.42
120,Marta,29,Granada,Logística,5489,2020-08-25,False,Junior,4.18
121,Isabel,27,A Coruña,Operaciones,5434,2022-06-29,False,Junior,2.73
122,Adrián,43,Pamplona,Operaciones,5588,2023-10-15,False,SemiSenior,5.69
123,Natalia,52,Pamplona,Logística,1553,2023-09-16,False,Junior,1.45
124,Isabel,37,Valencia,RRHH,2607,2022-09-02,True,Senior,7.99
125,Diego,23,Madrid,Marketing,1795,2024-11-05,False,Senior,4.91
126,Marta,28,Bilbao,Ventas,1777,2023-03-16,False,Senior,5.66
127,Sergio,25,Santander,Logística,1455,2020-06-12,True,Junior,8.41
128,Pablo,55,Gijón,RRHH,3312,2024-05-02,False,SemiSenior,1.85
129,Fernando,31,Barcelona,Atención Cliente,1618,2023-04-04,True,Junior,1.75
130,Irene,34,Sevilla,Marketing,2619,2023-08-06,False,Senior,4.21
131,Paula,21,Valladolid,Logística,5911,2023-03-16,True,SemiSenior,7.86
132,Diego,37,A Coruña,Atención Cliente,5443,2023-02-19,False,Junior,0.59
133,Hugo,57,Pamplona,Marketing,5698,2020-07-06,True,Junior,7.95
134,María,35,Alicante,RRHH,1375,2023-03-03,False,Senior,5.01
135,Noelia,46,Valencia,Atención Cliente,4373,2024-07-03,True,Senior,5.62
136,Ana,25,Madrid,Ventas,4243,2021-09-21,False,SemiSenior,5.64
137,Miguel,24,A Coruña,IT,1837,2023-06-01,False,SemiSenior,0.56
138,Natalia,49,Valladolid,Marketing,5550,2020-03-04,False,SemiSenior,2.5
139,Natalia,20,Santander,Finanzas,3141,2021-12-20,True,Senior,7.55
140,Natalia,37,Valladolid,Ventas,5888,2022-06-23,True,SemiSenior,4.12
141,Natalia,31,Murcia,Marketing,1747,2025-07-27,True,Junior,5.61
142,Carmen,18,Bilbao,Logística,4321,2021-03-20,False,SemiSenior,9.45
143,Diego,40,Barcelona,IT,1827,2021-07-26,True,Senior,0.46
144,Miguel,59,Santander,IT,5760,2022-04-25,False,Junior,4.5
145,Hugo,20,Gijón,RRHH,4117,2025-08-16,True,Junior,3.61
146,Laura,53,Sevilla,IT,1563,2024-11-01,False,Junior,1.06
147,Ricardo,41,Granada,IT,2231,2020-03-12,True,SemiSenior,9.51
148,Patricia,49,Málaga,Ventas,2924,2021-04-29,False,SemiSenior,9.61
149,Adrián,22,Zaragoza,IT,1261,2024-08-27,True,Junior,3.11
150,Pedro,55,Gijón,Atención Cliente,1241,2020-04-30,True,SemiSenior,9.47
151,Noelia,18,Gijón,IT,5643,2024-11-06,True,Junior,0.35
152,Sofía,56,Sevilla,Finanzas,5910,2021-08-05,True,Senior,9.81
153,Jorge,46,Bilbao,Operaciones,3774,2025-03-14,False,Senior,8.36
154,Irene,32,Gijón,Operaciones,5533,2021-08-30,False,SemiSenior,2.14
155,María,18,Santander,Operaciones,4345,2022-06-18,False,SemiSenior,6.0
156,Patricia,44,Barcelona,Marketing,1334,2023-10-02,False,Junior,7.98
157,Irene,21,Gijón,Logística,4630,2020-09-18,False,Senior,3.19
158,Adrián,44,Murcia,IT,1287,2023-02-27,True,SemiSenior,3.54
159,Alberto,51,Valladolid,IT,5120,2022-11-11,True,Junior,6.29
160,Marta,29,Barcelona,Atención Cliente,2961,2024-06-10,True,Senior,1.47
161,Pedro,28,Granada,IT,1878,2025-08-23,True,Junior,1.18
162,Marta,27,Granada,Ventas,2441,2023-10-07,False,SemiSenior,2.5
163,Lucía,27,A Coruña,Ventas,4480,2022-04-27,False,Junior,7.41
164,Andrés,22,Alicante,IT,5266,2022-04-21,False,SemiSenior,3.67
165,Pedro,28,Pamplona,IT,3940,2022-05-15,False,Junior,5.07
166,Carmen,46,Gijón,Finanzas,1970,2024-08-12,True,Junior,1.95
167,Hugo,31,Alicante,Operaciones,5521,2021-10-26,False,SemiSenior,1.94
168,Elena,51,Pamplona,IT,4995,2020-12-11,True,Senior,6.5
169,Sergio,53,Granada,Logística,3167,2021-11-22,True,Junior,1.08
170,Isabel,50,Granada,IT,3861,2020-02-17,True,SemiSenior,6.68
171,Isabel,41,Valladolid,Operaciones,5827,2020-08-07,True,SemiSenior,4.01
172,Nuria,31,Alicante,Atención Cliente,3011,2020-07-05,False,Senior,6.71
173,Carmen,57,Barcelona,Finanzas,1323,2024-05-16,True,Junior,3.82
174,Paula,26,Murcia,RRHH,1899,2024-02-04,True,SemiSenior,8.46
175,Adrián,37,Zaragoza,IT,4082,2023-12-13,False,Senior,0.56
176,Laura,37,Santander,Ventas,5989,2022-08-14,False,Junior,8.93
177,Isabel,50,Barcelona,Atención Cliente,4752,2024-01-24,False,SemiSenior,2.69
178,Elena,41,A Coruña,Marketing,4166,2020-11-29,False,Senior,0.43
179,Sofía,52,Sevilla,IT,2750,2025-02-07,False,Junior,5.62
180,Jorge,57,Santander,Operaciones,3309,2022-11-03,True,Junior,2.24
181,Sofía,34,Gijón,Operaciones,1384,2025-04-25,True,Junior,4.59
182,Jorge,55,Valencia,IT,2981,2020-11-11,True,Senior,8.02
183,Hugo,25,Santander,IT,4193,2022-10-26,True,Senior,7.92
184,Luis,57,Murcia,IT,5548,2023-12-12,False,SemiSenior,6.0
185,Isabel,25,Pamplona,IT,5628,2022-10-22,False,SemiSenior,9.78
186,Nuria,54,Granada,Finanzas,5142,2022-07-12,False,Junior,4.64
187,Hugo,34,Madrid,Ventas,1303,2020-12-10,False,Junior,0.39
188,Carmen,59,Valencia,Finanzas,5094,2022-02-27,False,Junior,8.19
189,Luis,23,Zaragoza,Ventas,2249,2021-05-09,False,Junior,2.21
190,Patricia,38,Valencia,Logística,4158,2021-09-16,False,Junior,1.76
191,Ana,56,Barcelona,Operaciones,5743,2023-11-16,False,SemiSenior,0.7
192,Alberto,20,Pamplona,Marketing,5463,2023-07-28,True,Junior,3.28
193,Alberto,29,Santander,RRHH,4389,2023-06-10,False,Junior,3.26
194,Jorge,21,Zaragoza,IT,2636,2022-01-18,True,Junior,3.03
195,Hugo,31,Valencia,IT,3700,2025-06-09,False,Junior,5.93
196,Jorge,34,Sevilla,Finanzas,4578,2020-06-30,True,Junior,7.52
197,Sofía,44,Santander,IT,3668,2021-12-10,False,Junior,9.38
198,Sergio,29,Bilbao,Operaciones,3141,2020-09-01,True,Junior,0.94
199,Adrián,24,Madrid,RRHH,3134,2021-12-02,True,SemiSenior,1.5
200,Carlos,25,Málaga,Ventas,4080,2025-06-14,False,SemiSenior,5.9
201,Pablo,58,Zaragoza,Finanzas,1371,2022-01-28,True,Senior,0.98
202,Pablo,58,A Coruña,Finanzas,5992,2025-02-23,False,SemiSenior,3.71
203,Irene,27,Málaga,Operaciones,1690,2022-10-21,True,SemiSenior,6.25
204,Lucía,26,Santander,Ventas,5926,2023-12-19,True,Senior,7.81
205,Elena,20,A Coruña,Finanzas,1369,2022-08-04,True,SemiSenior,2.18
206,Alberto,59,Pamplona,Atención Cliente,3661,2021-07-04,False,SemiSenior,6.68
207,Adrián,48,Málaga,Marketing,3204,2024-04-30,False,SemiSenior,6.46
208,Sergio,50,A Coruña,Atención Cliente,3955,2025-06-29,True,Junior,8.6
209,Carmen,30,Málaga,Operaciones,3281,2021-06-29,True,Junior,3.14
210,Carlos,45,Granada,RRHH,5508,2024-05-31,False,Junior,7.5
211,Nuria,20,Alicante,Logística,1280,2021-06-24,False,SemiSenior,7.52
212,Elena,47,Bilbao,Logística,5932,2024-01-23,True,Junior,2.39
213,Paula,42,Pamplona,Ventas,4509,2024-06-21,True,SemiSenior,6.21
214,Nuria,32,Gijón,Logística,4938,2022-07-19,True,Senior,6.75
215,Laura,48,Santander,IT,1871,2024-03-05,True,SemiSenior,2.74
216,Carlos,45,Valencia,Ventas,1512,2021-07-17,False,Junior,4.52
217,Ana,36,Granada,IT,3106,2020-06-13,False,SemiSenior,4.36
218,Carmen,26,Barcelona,Marketing,2748,2020-07-18,False,Junior,7.74
219,Adrián,19,Barcelona,Logística,4958,2022-07-14,False,Senior,0.01
220,Carmen,58,Pamplona,Finanzas,5504,2025-02-11,True,SemiSenior,5.01
221,Alberto,30,Sevilla,Finanzas,3252,2020-09-21,False,SemiSenior,1.84
222,Carlos,30,Gijón,IT,4888,2022-08-01,True,SemiSenior,6.47
223,Irene,47,Zaragoza,Finanzas,1485,2023-12-28,True,SemiSenior,6.8
224,Irene,28,Bilbao,RRHH,4763,2021-02-22,False,SemiSenior,5.01
225,Isabel,34,Barcelona,RRHH,1676,2024-02-02,True,Junior,5.42
226,Irene,48,Granada,Marketing,4406,2021-09-25,False,Junior,3.15
227,Miguel,43,Granada,Ventas,3034,2024-07-31,False,Junior,3.13
228,Raúl,46,Murcia,Logística,3193,2023-04-13,False,SemiSenior,7.45
229,Hugo,18,Gijón,Finanzas,2526,2023-02-06,False,Senior,1.32
230,Patricia,37,Bilbao,RRHH,3135,2020-12-31,True,SemiSenior,7.72
231,Patricia,38,Valladolid,IT,5398,2022-08-16,True,SemiSenior,6.55
232,Sofía,45,Bilbao,Atención Cliente,5083,2024-11-08,False,Senior,8.84
233,Alberto,24,Valladolid,RRHH,2833,2020-02-10,False,Junior,2.6
234,Ana,24,Sevilla,RRHH,2610,2024-04-19,False,Junior,5.06
235,Miguel,50,Murcia,Operaciones,3644,2022-10-17,True,Senior,0.39
236,Miguel,46,Valladolid,Ventas,4487,2024-01-29,True,Senior,9.13
237,Paula,52,Valladolid,Finanzas,2075,2023-10-05,True,SemiSenior,6.75
238,Adrián,29,Zaragoza,Atención Cliente,4686,2022-06-13,False,Junior,6.23
239,Marta,60,A Coruña,RRHH,5754,2021-09-30,False,Senior,7.33
240,Luis,29,Murcia,IT,5254,2023-07-22,False,SemiSenior,2.84
241,Sofía,45,Bilbao,Ventas,3832,2020-10-17,True,SemiSenior,6.04
242,Sofía,24,Valencia,IT,2735,2023-04-24,False,Junior,8.01
243,Marta,57,A Coruña,Finanzas,2753,2020-07-15,True,SemiSenior,0.9
244,Fernando,32,Pamplona,Marketing,4761,2023-09-07,True,Senior,9.59
245,Noelia,52,Alicante,Ventas,3383,2023-07-25,True,Senior,8.92
246,Sergio,32,A Coruña,Operaciones,1711,2020-06-23,False,SemiSenior,9.63
247,Irene,52,Santander,Ventas,4453,2024-04-16,False,SemiSenior,8.08
248,María,37,Santander,Marketing,1862,2022-05-10,True,SemiSenior,2.94
249,Lucía,20,Murcia,Logística,5938,2024-06-16,False,SemiSenior,5.82
250,Raúl,26,Barcelona,IT,3203,2020-03-27,False,SemiSenior,1.2
251,Paula,47,A Coruña,Ventas,2841,2021-01-06,True,Junior,7.54
252,Hugo,26,A Coruña,Marketing,1465,2022-10-19,True,Junior,1.54
253,Lucía,29,Bilbao,Finanzas,2005,2021-01-24,False,SemiSenior,8.67
254,Raúl,41,Gijón,Ventas,5749,2021-11-13,False,Junior,2.41
255,Carlos,28,Santander,Logística,3778,2023-09-29,False,Junior,1.6
256,Jorge,23,Bilbao,IT,5530,2020-10-26,True,Senior,0.71
257,Jorge,44,Murcia,Logística,5789,2023-11-03,False,SemiSenior,7.11
258,Jorge,47,Sevilla,Finanzas,1434,2020-08-02,False,Junior,1.86
259,Laura,49,Sevilla,IT,3028,2020-12-28,True,Junior,1.98
260,Carmen,58,Valencia,IT,5224,2023-05-01,True,SemiSenior,1.7
261,Diego,23,Málaga,IT,3579,2024-06-30,False,SemiSenior,3.06
262,Natalia,36,Bilbao,Marketing,3643,2020-12-19,True,SemiSenior,9.41
263,Hugo,28,Sevilla,Marketing,3937,2021-09-12,False,SemiSenior,4.87
264,Patricia,56,Zaragoza,Operaciones,4570,2025-03-29,False,Junior,2.61
265,Fernando,41,A Coruña,Marketing,5706,2025-08-10,True,SemiSenior,1.7
266,Ricardo,22,Bilbao,Operaciones,5458,2023-04-17,False,Junior,0.19
267,Hugo,47,Valladolid,Marketing,4201,2022-07-14,False,SemiSenior,3.65
268,Alberto,19,Bilbao,Marketing,3970,2021-12-19,False,Junior,1.1
269,Lucía,29,Granada,Marketing,2933,2023-06-21,False,Junior,0.27
270,Adrián,49,A Coruña,Marketing,1758,2023-05-08,False,Junior,1.03
271,Lucía,39,Pamplona,Atención Cliente,4603,2021-09-02,True,Senior,3.19
272,Carmen,50,Madrid,Ventas,1212,2020-02-17,False,Junior,7.51
273,Ricardo,42,Gijón,Marketing,4551,2020-11-09,False,Junior,0.67
274,Carmen,54,Málaga,Logística,3585,2025-06-07,False,Junior,6.79
275,Carlos,42,Madrid,Operaciones,4975,2022-05-15,False,SemiSenior,6.21
276,Pablo,20,Granada,Ventas,5757,2022-09-25,True,SemiSenior,8.82
277,María,21,Sevilla,Atención Cliente,3854,2022-08-24,False,Senior,1.84
278,Carlos,51,Sevilla,Ventas,3949,2024-06-08,True,SemiSenior,7.94
279,Adrián,19,Pamplona,Ventas,3539,2020-05-14,True,SemiSenior,8.65
280,Noelia,34,Valencia,RRHH,2990,2020-06-20,False,SemiSenior,9.76
281,María,18,Valladolid,Operaciones,1626,2021-07-25,False,Junior,8.09
282,Hugo,31,Valencia,Ventas,1348,2022-10-04,False,Senior,1.24
283,Adrián,43,Barcelona,Atención Cliente,4671,2023-10-21,False,Senior,9.47
284,María,25,Madrid,Ventas,5592,2022-10-12,True,Junior,8.15
285,Carmen,38,Madrid,Atención Cliente,1458,2022-07-02,False,SemiSenior,2.12
286,Natalia,60,Murcia,IT,2770,2025-04-25,True,Junior,1.65
287,Pedro,21,Zaragoza,RRHH,4119,2020-11-29,False,SemiSenior,9.36
288,Sofía,20,Madrid,Operaciones,4583,2023-03-29,False,SemiSenior,1.56
289,Jorge,29,Málaga,Marketing,4730,2023-01-27,True,Senior,7.77
290,Jorge,53,Bilbao,Finanzas,4533,2022-09-07,True,Junior,4.05
291,Carmen,35,Valladolid,Operaciones,1602,2024-07-29,True,SemiSenior,7.24
292,Diego,45,Pamplona,Operaciones,2418,2021-07-06,False,SemiSenior,0.92
293,Carlos,19,Granada,RRHH,3452,2025-05-28,False,Junior,7.25
294,Elena,49,Santander,Atención Cliente,1506,2021-11-17,True,SemiSenior,5.12
295,Jorge,20,Sevilla,Operaciones,2847,2023-02-02,True,SemiSenior,9.0
296,Irene,48,Valencia,Marketing,3048,2022-12-13,True,SemiSenior,1.88
297,Sofía,24,Alicante,Operaciones,5895,2024-10-25,True,Senior,1.09
298,Pablo,54,Bilbao,Logística,2722,2022-06-27,False,Junior,1.96
299,Laura,30,Gijón,Atención Cliente,5863,2021-08-12,False,Junior,0.79
300,Sergio,25,Zaragoza,Operaciones,4561,2020-02-14,True,Junior,9.8
301,Ricardo,32,Valencia,Atención Cliente,4523,2022-01-22,False,Junior,1.23
302,Carlos,18,Gijón,Atención Cliente,5135,2024-09-06,True,SemiSenior,2.01
303,Isabel,25,Valladolid,Marketing,5243,2020-01-21,True,Senior,8.1
304,Elena,43,Gijón,Operaciones,2267,2025-01-29,False,SemiSenior,2.47
305,Pedro,30,Zaragoza,Ventas,3220,2023-01-28,True,SemiSenior,2.22
306,Carlos,33,Barcelona,Marketing,3736,2020-10-17,False,Junior,6.72
307,Elena,52,Granada,Logística,5889,2021-09-17,False,Junior,3.99
308,Lucía,23,Barcelona,Marketing,1394,2023-02-20,False,Senior,8.35
309,Ana,35,A Coruña,Atención Cliente,3489,2021-10-15,True,SemiSenior,6.38
310,Nuria,26,Zaragoza,RRHH,2228,2020-08-12,False,Junior,2.88
311,Fernando,38,Alicante,Ventas,2192,2023-10-10,True,Senior,5.98
312,Carmen,32,Santander,IT,4857,2023-10-23,False,SemiSenior,8.66
313,Pablo,19,Zaragoza,Finanzas,2169,2020-09-03,True,Junior,3.64
314,Sofía,21,Santander,RRHH,5009,2021-08-05,False,SemiSenior,7.36
315,Carmen,54,Barcelona,Finanzas,5971,2021-05-19,True,SemiSenior,4.16
316,Patricia,20,Barcelona,IT,4927,2023-09-27,False,Junior,5.43
317,Isabel,51,Pamplona,Marketing,2015,2024-02-20,False,Senior,7.34
318,Raúl,57,Valladolid,IT,1883,2024-02-13,True,SemiSenior,0.61
319,Carlos,38,Zaragoza,Marketing,3298,2025-04-27,False,SemiSenior,4.55
320,Luis,31,Sevilla,Logística,3845,2024-05-10,True,Senior,0.95
321,María,51,Bilbao,Ventas,4936,2021-10-25,False,SemiSenior,7.25
322,Lucía,60,Granada,Operaciones,3229,2020-08-11,True,SemiSenior,6.08
323,Irene,23,Gijón,IT,2002,2023-06-26,True,Junior,3.27
324,Ricardo,59,Santander,Finanzas,5960,2025-03-11,False,Junior,0.76
325,Diego,58,Zaragoza,Logística,5542,2025-07-11,False,Junior,9.26
326,Irene,24,Zaragoza,Marketing,4340,2021-04-21,False,Junior,3.15
327,Lucía,20,Sevilla,Ventas,4538,2021-05-04,False,SemiSenior,2.75
328,Sofía,48,Barcelona,Finanzas,5689,2020-03-18,True,Junior,1.01
329,Raúl,21,Zaragoza,Marketing,3479,2020-10-19,True,Junior,5.77
330,Pablo,43,Valladolid,Logística,1897,2023-02-22,False,SemiSenior,2.66
331,Isabel,20,Barcelona,Atención Cliente,4109,2023-02-05,False,Junior,8.43
332,Patricia,47,Zaragoza,Operaciones,3364,2022-02-06,True,SemiSenior,6.83
333,Carlos,27,A Coruña,Operaciones,5039,2021-10-03,True,SemiSenior,0.04
334,Patricia,22,Gijón,Finanzas,4904,2024-09-13,False,Junior,5.66
335,María,20,Pamplona,Operaciones,3463,2022-08-10,False,Junior,2.32
336,Sofía,26,Málaga,RRHH,2966,2024-07-31,False,SemiSenior,0.15
337,Fernando,41,Málaga,Logística,3226,2025-06-16,True,Junior,6.19
338,Luis,21,Santander,Marketing,4236,2021-10-18,False,SemiSenior,2.05
339,Patricia,52,Granada,IT,4258,2021-02-23,False,SemiSenior,9.0
340,Marta,43,Bilbao,Operaciones,3656,2025-05-26,True,SemiSenior,5.73
341,Laura,30,Granada,Operaciones,3753,2023-08-07,True,SemiSenior,2.09
342,Andrés,60,Sevilla,Logística,5962,2021-08-25,True,Senior,9.79
343,María,46,Zaragoza,RRHH,2418,2023-07-11,False,Junior,5.46
