order_id,fecha,cliente,producto,categoria,precio_unitario,cantidad,ciudad,metodo_pago
32,2025-01-07,Germán Baquero-Rivero,Monitor,Electrónica,875,3,Valencia,PayPal
33,2025-09-20,Calixto Rosado-Trujillo,Tablet,Electrónica,691,5,Málaga,Tarjeta
34,2025-09-01,Iván Arnal Tovar,Puzzle,Juguetes,206,4,Málaga,PayPal
35,2025-01-03,Elpidio Augusto Polo Albero,Silla,Hogar,337,2,Bilbao,PayPal
36,2025-04-20,Amelia Angulo,Camiseta,Ropa,788,2,Barcelona,Transferencia
37,2025-08-24,Andrés Gallart Elías,Raqueta,Deportes,1461,2,Sevilla,PayPal
38,2025-07-28,Julián Sanjuan Grande,Camiseta,Ropa,1234,4,Madrid,Transferencia
39,2024-12-23,Tiburcio Mariño Ayllón,Raqueta,Deportes,1358,2,Málaga,PayPal
40,2025-01-01,Aurora Cepeda Escalona,Portátil,Electrónica,447,5,Málaga,Tarjeta
41,2025-08-01,Roberto Sierra Rodrigo,Cafetera,Hogar,18,2,Zaragoza,Transferencia
42,2025-06-03,Juan Ferrando Casares,Consola portátil,Juguetes,648,4,Barcelona,Transferencia
43,2025-04-29,Benjamín Rodolfo Artigas Milla,Chaqueta,Ropa,110,2,Sevilla,PayPal
44,2025-04-30,Rosalía Rebollo,Tablet,Electrónica,575,5,Madrid,PayPal
45,2025-02-04,Eligio Cuéllar Gual,Portátil,Electrónica,648,5,Málaga,PayPal
46,2025-01-16,Camila Cadenas,Zapatillas,Ropa,1138,2,Sevilla,Transferencia
47,2025-07-28,Yésica Huerta,Coche teledirigido,Juguetes,937,3,Zaragoza,Transferencia
48,2025-05-10,Amancio Sacristán Iglesia,Silla,Hogar,523,1,Zaragoza,Tarjeta
49,2025-04-23,Calista Gárate Garrido,Camiseta,Ropa,1039,5,Barcelona,PayPal
50,2024-11-07,Nilda Losa Bayo,Monitor,Electrónica,1281,4,Barcelona,PayPal
51,2025-05-04,Iván Vizcaíno Toledo,Pantalón,Ropa,833,4,Zaragoza,Tarjeta
52,2025-08-22,Moisés Amador Parejo,Pesas,Deportes,630,5,Valencia,Transferencia
53,2025-09-06,Felicidad Lucas Iñiguez,Raqueta,Deportes,1355,5,Murcia,PayPal
54,2025-04-20,Nando Pou-Vilaplana,Muñeca,Juguetes,1444,5,Málaga,Tarjeta
55,2025-03-12,Jose Carlos Pinilla Larrañaga,Mesa,Hogar,441,5,Barcelona,Tarjeta
56,2024-11-10,Prudencia del Bustamante,Coche teledirigido,Juguetes,43,1,Sevilla,Tarjeta
57,2024-12-12,Vera Luna,Zapatillas,Ropa,677,4,Zaragoza,Tarjeta
58,2024-10-03,Máxima del Pacheco,Raqueta,Deportes,73,2,Madrid,Transferencia
59,2025-01-10,Silvia Sierra Ribera,Smartphone,Electrónica,10,1,Murcia,Transferencia
60,2025-03-27,Adalberto de Acevedo,Cafetera,Hogar,405,3,Málaga,PayPal
61,2025-07-27,Juan José del Meléndez,Muñeca,Juguetes,1094,2,Zaragoza,Transferencia
62,2025-03-16,Soledad Codina Farré,Zapatillas,Ropa,479,5,Zaragoza,PayPal
63,2025-06-03,Marcia Garmendia Expósito,Patines,Deportes,343,1,Málaga,Transferencia
64,2025-02-18,Cloe del Ferrán,Camiseta,Ropa,1211,2,Sevilla,Tarjeta
65,2025-08-05,Ale Juan Padilla,Patines,Deportes,43,1,Sevilla,Transferencia
66,2024-10-16,Jennifer Amaya,Patines,Deportes,1063,2,Barcelona,Transferencia
67,2025-06-05,Osvaldo César Ramos Díez,Mesa,Hogar,50,4,Málaga,Transferencia
68,2025-07-25,Conrado Girón Portillo,Lámpara,Hogar,93,3,Málaga,Transferencia
69,2025-09-13,Yaiza Antón,Lámpara,Hogar,431,5,Murcia,PayPal
70,2024-12-30,Roxana Villanueva-Vilar,Chaqueta,Ropa,850,3,Murcia,Tarjeta
71,2025-03-09,Bernarda Castells Zamorano,Patines,Deportes,20,5,Bilbao,PayPal
72,2024-12-03,Régulo Porcel Torralba,Mesa,Hogar,208,3,Valencia,PayPal
73,2025-06-25,Ainara del Leon,Mesa,Hogar,957,5,Madrid,Tarjeta
74,2025-09-29,Joaquín Leon Vazquez,Camiseta,Ropa,167,1,Málaga,PayPal
75,2025-09-12,Remigio Arranz,Coche teledirigido,Juguetes,373,4,Valencia,Tarjeta
76,2025-09-20,Leocadio Adán Aramburu Camino,Auriculares,Electrónica,223,5,Bilbao,PayPal
77,2025-05-18,Jose Carlos del Elorza,Monitor,Electrónica,452,3,Zaragoza,PayPal
78,2025-04-18,Irma Carbonell Fernandez,Pelota,Juguetes,389,3,Bilbao,Tarjeta
79,2024-10-16,Esteban Llanos-Rincón,Camiseta,Ropa,1236,5,Murcia,Transferencia
80,2024-12-09,Ruperta Quevedo Martín,Patines,Deportes,729,2,Bilbao,Tarjeta
81,2025-04-05,Balduino Guerra Piñeiro,Smartphone,Electrónica,902,4,Sevilla,Transferencia
82,2024-12-19,Fabiola Salom Mateu,Silla,Hogar,663,2,Murcia,Transferencia
83,2024-11-10,Reyes Barceló-Pera,Tablet,Electrónica,526,5,Málaga,Tarjeta
84,2024-11-04,Dulce Morena Espada Cortes,Consola portátil,Juguetes,711,4,Málaga,Tarjeta
85,2025-03-27,Calisto Barranco Arnau,Pantalón,Ropa,339,1,Barcelona,PayPal
86,2025-09-04,Dimas Guerrero Diaz,Camiseta,Ropa,799,3,Málaga,Tarjeta
87,2025-01-03,Leonel Salvador Ugarte,Aspiradora,Hogar,1056,1,Barcelona,Tarjeta
88,2024-12-16,Sol Cortina Ferreras,Portátil,Electrónica,346,1,Sevilla,PayPal
89,2025-05-25,Ignacia Pina Diego,Mesa,Hogar,838,4,Málaga,PayPal
90,2025-07-21,Cristina Espada Ruiz,Cafetera,Hogar,283,5,Murcia,PayPal
91,2025-08-22,Francisco Javier Solé Calderón,Portátil,Electrónica,443,3,Sevilla,PayPal
92,2024-10-21,Matilde Cabanillas,Raqueta,Deportes,817,5,Sevilla,Tarjeta
93,2025-02-15,Margarita Ródenas Cabo,Smartphone,Electrónica,316,5,Barcelona,Transferencia
94,2025-01-09,Nicodemo Alemán Mariño,Auriculares,Electrónica,967,5,Madrid,PayPal
95,2024-11-29,Emiliana Ibáñez Gelabert,Zapatillas,Ropa,589,1,Murcia,Transferencia
96,2025-06-30,Rafaela Prada Alonso,Smartphone,Electrónica,821,4,Bilbao,Tarjeta
97,2024-10-23,Piedad de Querol,Lámpara,Hogar,1455,5,Málaga,PayPal
98,2025-06-10,Iker Espiridión Barros Moraleda,Cafetera,Hogar,560,2,Madrid,Transferencia
99,2025-03-12,Florina Cabeza Cobos,Camiseta,Ropa,185,5,Murcia,PayPal
100,2025-07-25,Rodrigo Barroso-Llano,Muñeca,Juguetes,1270,2,Sevilla,Tarjeta
101,2025-05-22,Silvestre Molins Oliva,Consola portátil,Juguetes,1107,1,Valencia,Transferencia
102,2024-10-05,Miguela Noa Villalonga Vázquez,Gorra,Ropa,706,4,Bilbao,PayPal
103,2025-06-08,Eladio Malo-Ribera,Pesas,Deportes,1007,2,Bilbao,Transferencia
104,2025-03-06,Victorino Córdoba Sanmartín,Aspiradora,Hogar,1308,3,Madrid,PayPal
105,2024-10-02,Febe Llamas Márquez,Pelota,Juguetes,772,5,Murcia,Tarjeta
106,2024-10-22,Noa Carro Alba,Pantalón,Ropa,1327,2,Bilbao,Tarjeta
107,2025-04-11,Eufemia Ariza Andrés,Muñeca,Juguetes,249,1,Bilbao,Tarjeta
108,2024-10-31,Juan Antonio Maza Fonseca,Gorra,Ropa,527,1,Murcia,PayPal
109,2025-04-30,Roldán de Andrés,Patines,Deportes,1043,1,Barcelona,Tarjeta
110,2024-12-19,Remigio Catalán Serrano,Smartphone,Electrónica,1180,5,Murcia,Transferencia
111,2025-06-23,Albina Ojeda Buendía,Patines,Deportes,1308,2,Málaga,Transferencia
112,2025-08-24,Loreto Quero-Borrell,Raqueta,Deportes,563,2,Bilbao,Transferencia
113,2025-06-10,Haroldo Buendía,Smartphone,Electrónica,1451,2,Sevilla,Transferencia
114,2025-06-05,Pío del Nuñez,Tablet,Electrónica,720,1,Murcia,Tarjeta
115,2025-07-10,Melania Carlos Vilaplana,Pelota,Juguetes,1033,3,Murcia,Tarjeta
116,2024-10-23,Eligio Robledo Llanos,Balón,Deportes,1037,3,Valencia,Transferencia
117,2025-06-19,Trinidad Anguita Dalmau,Monitor,Electrónica,889,5,Málaga,Transferencia
118,2025-09-23,Carlito Sureda-Bermudez,Gorra,Ropa,1025,5,Zaragoza,PayPal
119,2025-03-10,Leocadia Cañas Vázquez,Coche teledirigido,Juguetes,793,1,Valencia,Tarjeta
120,2025-09-02,Ainoa de Corral,Lámpara,Hogar,1171,1,Málaga,Tarjeta
121,2024-10-04,Sonia Marquez Gracia,Patines,Deportes,1442,3,Valencia,Tarjeta
122,2025-04-06,Elías del Riba,Camiseta,Ropa,581,1,Madrid,PayPal
123,2025-08-20,Micaela Iriarte Gargallo,Mesa,Hogar,738,1,Zaragoza,PayPal
124,2025-05-31,Nerea Guardiola Pomares,Coche teledirigido,Juguetes,234,5,Barcelona,Tarjeta
125,2025-02-04,Marino Calvet-Cerro,Aspiradora,Hogar,206,1,Valencia,PayPal
126,2025-08-04,Ainoa Montes Peñalver,Pantalón,Ropa,875,3,Bilbao,Transferencia
127,2025-02-01,Remigio Posada Diaz,Patines,Deportes,106,3,Barcelona,PayPal
128,2025-08-03,Estela Luna Vilanova,Pesas,Deportes,42,5,Valencia,Tarjeta
129,2025-01-02,María Carmen Larrea Teruel,Bicicleta,Deportes,394,5,Murcia,PayPal
130,2025-01-08,Emelina Peñalver Costa,Portátil,Electrónica,897,4,Málaga,PayPal
131,2024-10-11,Godofredo Narváez Vergara,Cafetera,Hogar,626,2,Valencia,Tarjeta
132,2024-12-04,Rosalva del Oliveras,Patines,Deportes,567,2,Barcelona,Tarjeta
133,2024-10-21,Calisto Mate Marí,Coche teledirigido,Juguetes,507,1,Valencia,Tarjeta
134,2024-11-15,Emiliana Álvaro-Losa,Smartphone,Electrónica,226,4,Málaga,PayPal
135,2025-08-24,Régulo Amor Dominguez,Pantalón,Ropa,690,5,Valencia,Transferencia
136,2025-06-07,Julio César Bonilla Roma,Balón,Deportes,1111,1,Valencia,Transferencia
137,2024-10-31,Hilda Torrecilla Bueno,Pelota,Juguetes,762,5,Málaga,Transferencia
138,2025-09-19,Débora Llabrés Carrión,Smartphone,Electrónica,524,5,Zaragoza,Tarjeta
139,2024-11-29,Melchor Amaya Ledesma,Auriculares,Electrónica,1210,5,Bilbao,Tarjeta
140,2025-03-01,Emigdio del Garriga,Coche teledirigido,Juguetes,1304,1,Sevilla,Transferencia
141,2024-12-03,Régulo Vera Hidalgo,Puzzle,Juguetes,1385,5,Sevilla,Tarjeta
142,2025-08-29,Eliana Nadal Noriega,Balón,Deportes,911,5,Bilbao,PayPal
143,2025-02-15,Melisa Santamaría Gómez,Silla,Hogar,543,4,Valencia,PayPal
144,2024-10-28,Eloy Mendez Pomares,Aspiradora,Hogar,533,2,Sevilla,Tarjeta
145,2025-03-24,Carla Nilda Dalmau Zamorano,Monitor,Electrónica,153,3,Zaragoza,Tarjeta
146,2025-03-17,Fortunata Gallardo,Muñeca,Juguetes,1184,3,Sevilla,Tarjeta
147,2024-12-12,Marcia Llabrés,Coche teledirigido,Juguetes,1462,1,Málaga,PayPal
148,2025-08-28,Amaya Diéguez Lladó,Portátil,Electrónica,828,4,Murcia,Transferencia
149,2024-11-19,Rodrigo Coca Maestre,Gorra,Ropa,1200,4,Barcelona,PayPal
150,2024-12-13,Imelda Miralles Sacristán,Coche teledirigido,Juguetes,784,2,Madrid,PayPal
151,2025-04-11,Néstor de Peña,Pesas,Deportes,952,1,Bilbao,PayPal
152,2024-11-19,Pacífica Azcona-Gelabert,Smartphone,Electrónica,544,5,Barcelona,PayPal
153,2024-10-20,Pánfilo Ayuso Rey,Balón,Deportes,579,5,Valencia,PayPal
154,2025-09-15,Marcos Cuéllar Hernando,Cafetera,Hogar,566,1,Málaga,Tarjeta
155,2025-09-06,Tito Cepeda Ribes,Zapatillas,Ropa,446,1,Barcelona,PayPal
156,2025-02-09,Teresa Porcel Solís,Tablet,Electrónica,463,1,Valencia,Tarjeta
157,2024-09-29,Rosalina Villaverde Núñez,Silla,Hogar,130,3,Bilbao,PayPal
158,2025-05-11,Jessica Salamanca Guerra,Camiseta,Ropa,542,4,Barcelona,Tarjeta
159,2024-11-25,Ramón Quevedo Fonseca,Camiseta,Ropa,376,2,Bilbao,Transferencia
160,2025-02-19,Visitación Ortega-Arranz,Balón,Deportes,95,3,Murcia,PayPal
161,2024-11-23,Leticia Calderón Buendía,Auriculares,Electrónica,753,4,Valencia,Transferencia
162,2024-10-13,Ileana Franch Porta,Consola portátil,Juguetes,1144,3,Málaga,Transferencia
163,2025-04-04,Elena Carranza Franch,Balón,Deportes,259,5,Madrid,Transferencia
164,2025-02-19,Lilia Amores Nieto,Zapatillas,Ropa,92,3,Bilbao,Tarjeta
165,2025-06-15,Ruth Pazos,Balón,Deportes,1210,1,Barcelona,Transferencia
166,2025-01-25,Primitiva Losada-Donoso,Balón,Deportes,891,1,Zaragoza,Transferencia
167,2025-02-02,Ariel del Mur,Raqueta,Deportes,20,3,Valencia,Transferencia
168,2024-12-23,Julie Donoso Boix,Gorra,Ropa,404,2,Zaragoza,Transferencia
169,2025-09-25,Zoraida Pujol-Guzmán,Cafetera,Hogar,1279,3,Madrid,Tarjeta
170,2025-04-18,Fabián Alberola Lumbreras,Smartphone,Electrónica,390,5,Sevilla,Tarjeta
171,2025-02-01,Calista Amo Salmerón,Consola portátil,Juguetes,400,5,Barcelona,PayPal
172,2025-06-08,Pía Pont-Barroso,Pantalón,Ropa,507,4,Sevilla,Tarjeta
173,2024-12-27,Bautista Rocamora,Raqueta,Deportes,429,2,Málaga,PayPal
174,2025-05-26,Irma Acuña Salgado,Consola portátil,Juguetes,314,3,Málaga,Transferencia
175,2024-11-13,Rosalía Perera Jove,Monitor,Electrónica,1498,3,Sevilla,Tarjeta
176,2024-11-19,Leandra Escalona Arco,Gorra,Ropa,615,5,Barcelona,Transferencia
177,2025-07-23,Evangelina Alfonso Taboada,Puzzle,Juguetes,829,3,Zaragoza,Transferencia
178,2025-01-03,Paulina Palomares Boada,Muñeca,Juguetes,1051,4,Bilbao,Tarjeta
179,2025-05-17,Salomé Casal,Portátil,Electrónica,548,5,Barcelona,Transferencia
180,2024-12-02,Dalila Cerezo Segarra,Pelota,Juguetes,1271,1,Barcelona,Tarjeta
181,2025-02-03,Amarilis Romeu Izquierdo,Pantalón,Ropa,1225,3,Madrid,Tarjeta
182,2024-10-09,Héctor Muñoz Herrero,Aspiradora,Hogar,953,5,Madrid,Tarjeta
183,2024-10-19,Lisandro Belmonte Moraleda,Cafetera,Hogar,395,4,Málaga,Tarjeta
184,2025-07-26,Bernardita Matas Espinosa,Consola portátil,Juguetes,1413,1,Barcelona,Transferencia
185,2024-12-11,Tania Casas Navarro,Patines,Deportes,938,1,Murcia,Tarjeta
186,2024-11-13,Coral Julián,Tablet,Electrónica,964,1,Zaragoza,Transferencia
187,2025-06-02,Juana Anita Escolano Pol,Coche teledirigido,Juguetes,1244,3,Zaragoza,PayPal
188,2024-12-14,Moreno Ambrosio Neira Cerezo,Puzzle,Juguetes,933,1,Murcia,PayPal
189,2025-06-01,Ibán Cueto Peña,Gorra,Ropa,1328,3,Sevilla,Transferencia
190,2025-04-23,Montserrat Landa Haro,Lámpara,Hogar,478,3,Valencia,PayPal
191,2024-12-30,Sandra Zamorano-Nicolás,Lámpara,Hogar,1008,5,Valencia,PayPal
192,2025-06-18,Nazario Albino Uriarte Reig,Tablet,Electrónica,1284,2,Valencia,Tarjeta
193,2025-08-27,Montserrat Arregui Buendía,Pantalón,Ropa,1362,2,Bilbao,PayPal
194,2024-12-25,Calixto Iborra-Ortuño,Gorra,Ropa,259,4,Madrid,Transferencia
195,2024-11-20,Soraya Figueras Valdés,Pelota,Juguetes,1487,4,Madrid,Tarjeta
196,2024-11-30,Tecla Itziar Barrio Palomares,Muñeca,Juguetes,887,4,Barcelona,Tarjeta
197,2025-06-18,Cecilio Redondo Cabrera,Consola portátil,Juguetes,900,1,Sevilla,Transferencia
198,2024-12-15,Crescencia Palmira Llopis Medina,Lámpara,Hogar,309,2,Zaragoza,Transferencia
199,2025-07-05,Fabiola Sarmiento Martinez,Puzzle,Juguetes,441,2,Bilbao,PayPal
200,2025-01-31,Joaquín Lucena-Reyes,Consola portátil,Juguetes,387,4,Zaragoza,Tarjeta
201,2025-07-24,Anabel Rosalina Alemany Barrera,Aspiradora,Hogar,1050,2,Sevilla,PayPal
202,2025-07-24,Vasco de Sanmartín,Zapatillas,Ropa,151,3,Málaga,PayPal
203,2024-10-23,Feliciano Tejero Miró,Pelota,Juguetes,207,4,Barcelona,Transferencia
204,2024-10-01,Esteban Mínguez Nogueira,Pelota,Juguetes,1327,3,Madrid,Transferencia
205,2024-12-06,Azucena Amanda Sevillano Guerrero,Pelota,Juguetes,1281,3,Madrid,PayPal
206,2024-12-02,Dalila Bernad,Bicicleta,Deportes,1445,5,Sevilla,PayPal
207,2025-07-30,Gema Mata Bustos,Balón,Deportes,1390,2,Sevilla,PayPal
208,2025-04-27,Jesusa Frutos-Crespo,Camiseta,Ropa,48,2,Sevilla,PayPal
209,2025-03-17,Agustín Escolano Aranda,Pesas,Deportes,395,3,Valencia,Tarjeta
210,2025-07-09,Constanza Catalá Huerta,Pelota,Juguetes,36,4,Zaragoza,Transferencia
211,2024-10-03,Luciano Daza Sierra,Patines,Deportes,1335,2,Madrid,PayPal
212,2025-06-06,Carmelita Dalmau Lluch,Pesas,Deportes,388,5,Murcia,Transferencia
213,2025-08-26,Bienvenida Carrillo Quero,Gorra,Ropa,1426,5,Murcia,Tarjeta
214,2025-02-16,Paula Mur Gabaldón,Chaqueta,Ropa,1334,1,Bilbao,Tarjeta
215,2025-04-01,Benjamín Tomé Puig,Portátil,Electrónica,544,5,Málaga,Transferencia
216,2025-08-31,Gastón Escudero Barón,Mesa,Hogar,296,2,Murcia,PayPal
217,2025-04-11,Cristian Barceló,Camiseta,Ropa,560,4,Sevilla,Tarjeta
218,2025-06-12,Pepe Gargallo Martí,Pantalón,Ropa,513,5,Murcia,PayPal
219,2025-09-10,Máxima Roca Verdú,Gorra,Ropa,641,1,Sevilla,PayPal
220,2025-07-31,Felipa Egea Calderon,Consola portátil,Juguetes,461,1,Málaga,Tarjeta
221,2025-08-24,Natanael Samper-Domingo,Monitor,Electrónica,1395,5,Sevilla,PayPal
222,2025-09-16,Merche Aura Camps Toro,Chaqueta,Ropa,695,4,Madrid,Tarjeta
223,2024-12-29,Trinidad Cuervo Gras,Silla,Hogar,714,1,Madrid,Transferencia
224,2025-01-02,Inés Vilanova-Calderón,Bicicleta,Deportes,644,4,Barcelona,Tarjeta
225,2025-09-19,María José Ortiz Mur,Silla,Hogar,538,3,Sevilla,PayPal
226,2025-09-21,Salud Frías-Montes,Portátil,Electrónica,1102,5,Sevilla,Transferencia
227,2025-08-17,Marcio Flor Luján,Balón,Deportes,1283,3,Valencia,Transferencia
228,2025-05-19,Ximena de Carro,Raqueta,Deportes,1061,4,Barcelona,Transferencia
229,2024-10-22,Pascuala Encarnación Gimenez Verdejo,Zapatillas,Ropa,657,1,Bilbao,PayPal
230,2025-02-24,Rafael Solera-Guardia,Pesas,Deportes,125,4,Madrid,Tarjeta
231,2025-06-27,Casandra Mendez Albero,Lámpara,Hogar,539,2,Sevilla,PayPal
232,2025-05-16,José María Jordán Jaén,Mesa,Hogar,781,5,Bilbao,Tarjeta
233,2025-04-13,Anna Sanabria Losa,Patines,Deportes,165,1,Madrid,Transferencia
234,2025-02-12,Susanita Botella Beltrán,Monitor,Electrónica,995,1,Bilbao,Transferencia
235,2025-05-14,Ambrosio del Frías,Coche teledirigido,Juguetes,194,1,Barcelona,Transferencia
236,2025-06-13,Ofelia Hoz Rozas,Chaqueta,Ropa,257,5,Sevilla,Transferencia
237,2025-03-23,Amparo Vall Calderón,Chaqueta,Ropa,52,4,Sevilla,PayPal
238,2025-02-21,Yolanda Antonia Ferrando Valera,Patines,Deportes,937,1,Madrid,Transferencia
239,2024-12-04,Ainoa Bru Priego,Pelota,Juguetes,698,2,Valencia,Tarjeta
240,2025-06-16,Dorita Reig Peñas,Monitor,Electrónica,178,1,Barcelona,Tarjeta
241,2025-01-27,Viviana Hervia Echeverría,Monitor,Electrónica,1045,3,Málaga,PayPal
242,2025-01-29,Teodora Perales Talavera,Tablet,Electrónica,166,3,Sevilla,Transferencia
243,2025-09-16,Gloria Roca Puente,Mesa,Hogar,1345,4,Málaga,PayPal
244,2025-06-19,Edgardo Iglesias Millán,Tablet,Electrónica,85,4,Madrid,Tarjeta
245,2025-03-22,José Ángel Gallego Pelayo,Mesa,Hogar,607,2,Barcelona,Tarjeta
246,2025-06-26,Antonio Carro Tovar,Portátil,Electrónica,1136,5,Zaragoza,PayPal
247,2025-04-07,Eladio de Pinedo,Monitor,Electrónica,36,4,Murcia,Transferencia
248,2025-05-12,Atilio Aguilar-Ferrández,Tablet,Electrónica,324,3,Bilbao,PayPal
249,2024-10-16,Cristian Mascaró Fábregas,Puzzle,Juguetes,1322,3,Barcelona,PayPal
250,2025-09-09,Aristides Fausto Sans Viana,Portátil,Electrónica,1383,4,Barcelona,Transferencia
251,2025-01-02,Lupe de Cabañas,Coche teledirigido,Juguetes,382,2,Valencia,Transferencia
252,2025-04-13,Marcelino Leopoldo Morata Alberto,Pelota,Juguetes,1166,4,Sevilla,Transferencia
253,2024-11-01,Jeremías Barceló Amaya,Chaqueta,Ropa,1331,5,Murcia,PayPal
254,2025-04-25,Máxima Acero Hidalgo,Tablet,Electrónica,910,4,Sevilla,Tarjeta
255,2025-09-20,Narciso Iborra Nicolau,Monitor,Electrónica,1489,4,Murcia,PayPal
256,2025-03-25,Hilario del Rosales,Silla,Hogar,551,1,Valencia,PayPal
257,2025-03-20,Jordi Vilanova-Pazos,Puzzle,Juguetes,761,4,Barcelona,Tarjeta
258,2025-03-19,Matilde Tomé Vizcaíno,Zapatillas,Ropa,878,1,Zaragoza,Transferencia
259,2025-04-25,Ofelia Feijoo Galindo,Gorra,Ropa,1300,1,Madrid,Transferencia
260,2025-03-21,Alejandro Pazos Zapata,Pelota,Juguetes,1183,2,Barcelona,Tarjeta
261,2025-01-25,Berta Jódar Jódar,Consola portátil,Juguetes,73,3,Madrid,PayPal
262,2024-11-15,Ricarda de Amador,Mesa,Hogar,678,4,Madrid,Tarjeta
263,2025-04-06,Teresita Paz Arco,Raqueta,Deportes,398,4,Murcia,Transferencia
264,2025-02-01,Leire Feliu Azcona,Pantalón,Ropa,115,2,Valencia,Tarjeta
265,2025-04-06,Isidora Tomás Mulet,Mesa,Hogar,1334,1,Madrid,Transferencia
266,2025-08-29,Cayetano Calzada Ruiz,Balón,Deportes,1385,4,Barcelona,Tarjeta
267,2025-05-31,Sancho Yuste Bernal,Gorra,Ropa,291,4,Málaga,Tarjeta
268,2025-03-24,Edelmira Escobar Giner,Portátil,Electrónica,330,2,Zaragoza,Transferencia
269,2025-03-15,Rico Téllez Escamilla,Coche teledirigido,Juguetes,1322,2,Murcia,PayPal
270,2025-07-30,Elba Merche Plana Campos,Portátil,Electrónica,343,2,Sevilla,Transferencia
271,2025-09-11,Felicia Plana Baquero,Tablet,Electrónica,1101,1,Madrid,Tarjeta
272,2025-06-01,Raúl Badía Palma,Auriculares,Electrónica,168,4,Bilbao,Tarjeta
273,2025-02-18,Édgar Ibarra Roda,Smartphone,Electrónica,1440,1,Valencia,PayPal
274,2024-12-29,Jerónimo Marco Calleja,Smartphone,Electrónica,324,1,Bilbao,Tarjeta
275,2025-06-19,Nicolasa Collado Fonseca,Aspiradora,Hogar,568,4,Zaragoza,Tarjeta
276,2025-05-25,Pepito Larrea Guardiola,Muñeca,Juguetes,808,3,Zaragoza,Transferencia
277,2024-12-22,Sara Beltran-Abellán,Tablet,Electrónica,268,5,Valencia,Tarjeta
278,2025-05-30,Socorro Encarnacion Roma Riba,Zapatillas,Ropa,622,2,Zaragoza,PayPal
279,2025-07-17,Fortunata Hoz Echeverría,Smartphone,Electrónica,590,3,Valencia,PayPal
280,2025-06-27,Carlos Alegria Briones,Smartphone,Electrónica,1318,5,Bilbao,Tarjeta
281,2025-04-25,Francisco Javier Calderon Izaguirre,Puzzle,Juguetes,544,3,Madrid,PayPal
282,2025-04-11,Lope del Santos,Smartphone,Electrónica,27,1,Málaga,Transferencia
